Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime,audio_caption,visual_caption
3644,Doctor you gotta do something! I think you gotta give me drugs or you gotta light a fire up in there and just smoke it out.,Rachel,sadness,negative,362,5,8,24,"00:04:54,824","00:05:05,960",The speaker sounds happy.,"The image shows a woman laying in a hospital bed with a man standing next to her. She is surrounded by pillows and a blanket, and there is a wall in the background. On the right side of the image, there are various objects."
3645,"Actually, I think youre ready to go to the delivery room.",Dr. Long,neutral,neutral,362,6,8,24,"00:05:02,957","00:05:05,960",Neutral,"The image shows a woman in a lab coat sitting on a chair in a hospital room. She is wearing an ID card and there is a stool in front of her. On the left side of the image there is another chair, and in the background there are stethoscopes, a machine, a basket, and other objects on a cupboard. There is also a frame on the wall and a light on the ceiling."
3646,What?,Rachel,surprise,negative,362,7,8,24,"00:05:07,044","00:05:08,838",Angry,"The image shows a woman lying in a hospital bed with a man standing next to her. The bed is covered with a blanket and pillows, and there is a telephone nearby. In the background, there are various objects and a light illuminating the scene."
3647,"Ten centimeters, youre about to become a mom.",Dr. Long,neutral,neutral,362,8,8,24,"00:05:07,044","00:05:10,840",Angry,"The image shows a woman lying in a hospital bed with a man standing next to her. The bed is covered with a blanket and pillows, and there is a telephone nearby. In the background, there are various objects and a light illuminating the scene."
3648,My God. Okay.  Ha-ha-ha beat ya! Sucker!,Rachel,surprise,positive,362,9,8,24,"00:05:12,341","00:05:20,224",The speaker sounds happy.,"The image shows a woman laying in a hospital bed with a man standing next to her. She is surrounded by pillows and a blanket, and there is a saline bottle hanging from a stand in the background. There is also a telephone and other objects on the table, and a light illuminating the scene."
3649,Are they here yet?,Carol,neutral,neutral,363,0,1,23,"00:10:23,247","00:10:25,332",The speaker sounds fearful.,"The image shows a woman in a hospital bed with a man in a white robe standing beside her, both of them laughing. In the background there is a wall and a window."
3650,"No, honey, they're not, but don't worry, because we are going to find them, and until we do, we are all here for you, ok?",Rachel,neutral,neutral,363,1,1,23,"00:10:28,085","00:10:31,254",The speaker sounds fearful.,"The image shows a woman laying in a hospital bed with a man standing next to her. She is wearing a white dress and has a white cloth draped over her body. On the right side of the bed, there is a woman wearing a black dress and holding a glass in her hand. In the background, there are cupboards, a wall, a machine, a saline bottle, a bag, and other objects."
3651,Ok.,Carol,neutral,neutral,364,0,2,23,"00:10:31,442","00:10:32,839",Angry,"The image shows a man and woman sitting on a couch playing a board game. On the table in front of them are cards, a box, and other objects. To the right of the table is a cupboard with various objects on top. In the background, there is a lamp, a door, a curtain, a photo frame on the wall, and a plant."
3652,Hi.,Rachel,neutral,neutral,365,0,1,24,"00:12:03,389","00:12:04,000",The speaker sounds like a young female with an angry mood.,"The image shows a man and two women standing next to each other in a room. The man is wearing a red shirt and the woman on the right is holding an object in her hand. In the background, there is a wall, a pipe, and a few other objects."
3653,May I see your boarding pass?,Flight Attendant,neutral,neutral,365,1,1,24,"00:12:03,389","00:12:04,848",The speaker sounds happy.,"The image shows a man and two women standing next to each other in a room. The man is wearing a red shirt and the woman on the right is holding an object in her hand. In the background, there is a wall, a pipe, and a few other objects."
3654,"Oh, no, no, I don't have one. I just need to talk to my friend.",Rachel,neutral,neutral,365,2,1,24,"00:12:05,057","00:12:06,891",Neutral,"The image shows a group of three women standing next to each other in a room, with a telephone on the right side and a wall in the background. Through the glass window, I can see a few buildings and lights."
3655,"Oh, oooh. I'm sorry. You are not allowed on the jetway unless you have a boarding pass.",Flight Attendant,neutral,neutral,365,3,1,24,"00:12:07,101","00:12:11,062",The speaker sounds like a woman.,"The image shows a group of people standing around each other in a room, with a wall in the background. In the center of the group is a woman wearing a suit."
3656,"No, I know, but Ihe just went on.",Rachel,neutral,neutral,365,4,1,24,"00:12:11,272","00:12:12,272",The speaker sounds like they are in a happy mood.,"The image shows three women standing next to each other in a room, with one of them holding a book in her hand. In the background there is a wall and a glass window, through which we can see some lights."
3657,"He's right there, he's got the blue jacket on, I... can I j-just...",Rachel,sadness,negative,365,5,1,24,"00:12:11,272","00:12:14,482",Neutral,"The image shows three women standing next to each other in a room, with one of them holding a book in her hand. In the background there is a wall and a glass window, through which we can see some lights."
3658,No no no! Federal regulations!,Flight Attendant,anger,negative,365,6,1,24,"00:12:14,692","00:12:16,651",The speaker sounds angry.,The image shows a woman in a suit talking to a group of people in front of a wall.
3659,"OK, alright, OK, um... then could you please, uh... just give him a message for me? Please? This is",Rachel,neutral,neutral,365,7,1,24,"00:12:16,861","00:12:22,615",The speaker sounds neutral.,"The image shows a group of women standing around each other in a room, with a wall and a glass window in the background. One of the women has human hair."
3660,Alright. What's the message?,Flight Attendant,neutral,neutral,365,8,1,24,"00:12:22,825","00:12:25,160","The speaker sounds female, between the ages of 26-40, speaking English with a","The image shows a group of people standing around each other in a room, with a wall in the background. In the center of the group is a woman with a human face."
3661,Uh... I don't know.,Rachel,neutral,neutral,365,9,1,24,"00:12:25,494","00:12:27,871","The speaker sounds female, aged between 16-25 years old, speaking in English with","The image shows three women standing next to each other in a room, with one of them holding a book in her hand. In the background, there is a wall and a glass window, through which we can see the lights of the city."
3662,"Sir? Sir? Excuse me, sir? Uh... I have a message for you.",Flight Attendant,neutral,neutral,365,10,1,24,"00:12:30,458","00:12:34,919",The speaker sounds like a young female with an angry mood.,"The image shows a man in a brown jacket standing in front of a group of people, with a wall in the background."
3663,What?,Man,neutral,neutral,365,11,1,24,"00:12:33,002","00:12:34,919",The speaker sounds neutral.,"The image shows a group of people standing next to each other in a hallway, with a wall in the background. Among them is a man wearing a suit and a woman wearing a dress."
3664,"It's from Rachel. She said that she loved the present, and she will see you when you get back.",Flight Attendant,neutral,neutral,365,12,1,24,"00:12:35,129","00:12:39,007","The speaker is female with an English accent, and she sounds neutral.","The image shows a group of people standing in a hallway, with a wall in the background. Among them is a man wearing a suit and a woman wearing a dress."
3665,": Toby... Oh, for God's sake, I don't know what she's talking about!",Man,surprise,negative,365,13,1,24,"00:12:39,216","00:12:45,045",The speaker sounds perplexed and disoriented.,"The image shows a group of people standing in a hallway, with a wall in the background. Among them is a man and a woman, both of whom appear to be engaged in conversation."
3666,There's no Rachel!,Man,anger,negative,365,14,1,24,"00:12:45,264","00:12:46,765",The speaker sounds surprised.,"The image shows a group of people standing next to each other in a hallway, with a wall in the background. In the center of the group is a man wearing a suit and a woman wearing a dress."
3668,"Here's the thing, Janice.",Chandler,neutral,neutral,366,0,1,5,"0:19:23,036","0:19:24,218",The speaker sounds like a man.,"The image shows a man and woman sitting on a couch in a living room, surrounded by a group of people standing on the floor. On the left side of the image, there is a stool and a table with a book on it."
3669,"You know, I mean, it's like we're different.",Chandler,neutral,neutral,366,1,1,5,"0:19:24,218","0:19:25,554","The speaker sounds male, speaks English, and his mood is neutral.","The image shows a man and woman sitting on a couch talking to each other, surrounded by a group of people standing in the background. On the left side of the image there is a stool and a table with papers on it."
3670,"I'm like the bing, bing, bing.",Chandler,anger,negative,366,2,1,5,"0:19:25,747","0:19:27,124",The speaker sounds like a baby.,"The image shows a man and woman sitting on a couch in a living room, surrounded by a few other people standing in the background. On the left side of the image, there is a stool and a book on the table."
3671,"You're like the boom, boom, ... boom.",Chandler,neutral,neutral,366,3,1,5,"0:19:27,124","0:19:27,768",The speaker sounds like a young English male.,"The image shows a man and woman sitting on a couch in a living room, surrounded by a group of people standing on the floor. On the left side of the image, there is a stool and a table with some papers on it."
3672,Ow!,Janice,surprise,negative,366,4,1,5,"00:19:27,958","00:19:29,000",It sounds like a young English-speaking female is expressing disgust.,"The image shows a man and woman sitting on a couch in a living room, surrounded by pillows, a stool, a table with books and other objects, and a wall in the background."
3673,"Oh, my god, I'm so sorry. Are you ok?",Chandler,anger,negative,366,5,1,5,"00:19:29,209","00:19:33,629",A male speaking English with a disgusted mood.,"The image shows a man and woman sitting on a couch in a living room, surrounded by a few other people standing in the background. On the right side of the image, there is a table with various objects on it."
3674,"Ow. Um, it's just my lens. It's just my lens. I'll be right back.",Janice,sadness,negative,366,6,1,5,"00:19:34,840","00:19:39,135",The speaker sounds like a female in her twenties speaking English.,"The image shows a man and woman sitting on a couch in a living room. On the table in front of them are cups, saucers, papers, a candle with a stand, and other objects. In the background, there are other people sitting on chairs, a door, a board with text, and a wall."
3675,I hit her in the eye! I hit her in the eye! This is the worst break-up in the history of the world.,Chandler,sadness,negative,366,7,1,5,"00:19:41,513","00:19:47,602",The speaker sounds angry.,"The image shows a group of people sitting around a blue couch in a living room. There are cushions on the couch, a table with cups, saucers, glasses, papers and other objects, stools, a lamp, curtains, photo frames on the wall, lights hanging from the ceiling, and a name board with something written on it."
3676,Oh my god.  How many of those have you had?,Phoebe,surprise,negative,366,8,1,5,"00:19:47,853","00:19:53,191",The speaker sounds surprised.,"The image shows a woman sitting at a bar with a man standing next to her. On the table in front of them are various objects, and in the background there is a wall."
3677,"Oh, I don't know, a million?",Chandler,anger,negative,366,9,1,5,"00:19:53,442","00:19:55,610",Male,"The image shows a man and woman standing next to each other in a room. The man is wearing a brown shirt and the woman has blue hair. There are a few other people in the room, some sitting on chairs and some standing, and in the background there are flowers, lights, and other objects."
3678,"Chandler, easy, easy. Go to your happy place. La la la la la la la.",Phoebe,neutral,neutral,366,10,1,5,"00:19:56,486","00:20:02,158",The speaker sounds angry.,"The image shows a woman in a white dress standing at a bar, with a man sitting to her right. On the table in front of them are various objects, and in the background there are shelves filled with bottles and other items."
3679,I'm fine.,Chandler,neutral,neutral,366,11,1,5,"0:20:03,285","0:20:04,047","The speaker sounds male, aged between 16-25 years old, speaking in English with","The image shows a man and woman standing in front of a couch in a living room. The room is decorated with a chandelier hanging from the ceiling, a board with text on it, a plant with flowers, and a group of people sitting on chairs around the couch."
3680,All right.,Phoebe,neutral,neutral,366,12,1,5,"0:20:04,047","0:20:05,718","The speaker sounds English with a female voice, around 40 years old.","The image shows a group of people sitting around a table in a room. There is a woman standing in the center of the group, holding an object in her hand. To her right, there is a man sitting on a chair, and to her left, there are a few people sitting on chairs. In the background, there appears to be a wall with a board attached to it, and a chandelier hanging from the ceiling."
3681,I'm not fine. Here she comes.,Chandler,fear,negative,366,13,1,5,"00:20:05,871","00:20:07,705",The speaker sounds angry.,"The image shows a man and woman standing in front of a bar, surrounded by a group of people sitting on chairs and a sofa. On the table in the center of the room, there are various objects, and on the right side of the image, there is a plant and a chandelier. In the background, there appears to be a board with some text on it."
3682,Wait here. Breathe.,Phoebe,neutral,neutral,366,14,1,5,"00:20:07,915","00:20:09,749",Angry,"The image shows a man and woman standing in front of a couch in a living room. The room is filled with furniture such as chairs, stools, and a table with cups, saucers, glasses, and other objects. There are also pillows on the couch, a mirror on the wall, lights hanging from the ceiling, and photo frames and other decorations adorning the walls."
3683,How do you do that?,Chandler,surprise,negative,366,15,1,5,"00:20:28,727","00:20:30,061",The speaker sounds surprised.,"The image shows a man and woman standing next to each other in front of a chandelier, with a board with text in the background and lights illuminating the scene."
3684,It's like a gift.,Phoebe,neutral,neutral,366,16,1,5,"00:20:30,312","00:20:32,355",The speaker sounds surprised.,"The image shows a man and woman standing next to each other in a bar, surrounded by stools, a table with various objects on it, a wall with a curtain, and other objects in the background."
3685,We should always always break up together.,Chandler,neutral,neutral,366,17,1,5,"00:20:35,025","00:20:37,360","The speaker sounds English, male and around 40 years old.","The image shows a man and woman standing next to each other in front of a bar, with a chandelier hanging from the ceiling, a plant in the background, and a board with text on it."
3686,"Oh, I'd like that.",Phoebe,neutral,neutral,366,18,1,5,"00:20:37,611","00:20:38,736",The speaker sounds happy.,"The image shows a man and woman standing next to each other in a bar, both of them smiling. In the background, there are a few people sitting on stools, a table with various objects on it, a wall, a curtain, and other objects."
3687,You win.,Chandler,anger,negative,367,0,6,6,"00:13:43,113","00:13:44,197","The speaker sounds male, aged between 16-25 years old, speaking in English with","The image shows two men standing in a kitchen, one of them holding a card in his hand. On the table in front of them are various objects, and on the wall behind them is a poster with text and images. There are also bottles and other objects on the shelves, and cupboards at the top of the image."
3688,"Well, what did you have?",Joey,neutral,neutral,367,1,6,6,"00:13:44,365","00:13:46,991",Neutral,"The image shows two men sitting at a kitchen counter talking to each other. On the counter there are bottles, glasses, and other objects. Behind them is a sofa with cushions, a table with various objects on it, a wall with a photo frame, a window with a curtain, a statue, a sink with a tap, a dishwasher, cupboards, and various objects attached to the wall."
3689,It doesnt matter because nothing beats a three and a six.,Chandler,joy,positive,367,2,6,6,"00:13:44,365","00:13:49,494",The speaker sounds happy.,"The image shows two men sitting at a kitchen counter talking to each other. On the counter there are bottles, glasses, and other objects. Behind them is a sofa with cushions, a table with various objects on it, a wall with a photo frame, a window with a curtain, a statue, a sink with a tap, a dishwasher, cupboards, and various objects attached to the wall."
3690,That my friend is D-Cup.,Chandler,neutral,neutral,367,3,6,6,"00:13:49,662","00:13:51,871",The speaker sounds happy.,"The image shows two men standing in a kitchen, one of them holding a card in his hand. On the table in front of them are various objects, and on the wall behind them is a telephone and a poster. There are also bottles and other objects on the shelves, and cupboards at the top of the image."
3691,"Okay, now much have you won so far?",Chandler,neutral,neutral,367,4,6,6,"00:13:54,041","00:13:56,417","The speaker sounds male, around 25 years old, speaking English with a neutral mood.","The image shows two men standing in a kitchen, talking to each other. On the table in front of them are various objects, and on the wall behind them are posters and a telephone. There are also bottles and other objects on the shelves, and cupboards at the top of the image."
3692,"Uh,  wow, 700.",Joey,surprise,positive,367,5,6,6,"0:13:57,086","0:13:58,638",The speaker sounds surprised.,"The image shows two men sitting at a table playing cards. On the table there are cards, a bottle, and other objects. In the background there is a sofa, a frame on the wall, a door, and a light."
3693,Not 700 exactly?,Chandler,surprise,positive,367,6,6,6,"0:13:58,638","0:14:00,138",The speaker sounds surprised.,"The image shows two men sitting at a table in a kitchen. On the table there are papers and other objects, and in the background there is a refrigerator with bottles and other items on the shelves. There are also posters on the wall and a tissue roll on the left side of the image."
3694,Yeah.,Joey,neutral,neutral,367,7,6,6,"00:14:00,442","00:14:01,000","The speaker sounds male, speaks English, and conveys a neutral mood.",Nan
3695,Double it!,Chandler,joy,positive,367,8,6,6,"00:14:01,000","00:14:02,715",Angry,"The image shows two men sitting at a kitchen counter talking to each other. On the counter there is a table with various objects on it, and in the background there are bottles and other objects on the shelves. To the right of the image there is an object attached to the wall."
3696,What?,Joey,surprise,positive,367,9,6,6,"00:14:04,051","00:14:05,000",The speaker sounds surprised.,"The image shows two men standing in a kitchen, talking to each other. On the table in front of them are various objects, and on the wall behind them is a poster. To the left of the image is a cupboard, and to the right is a telephone."
3697,"Well you see in Cups, once you get $700, you have to double it.",Chandler,neutral,neutral,367,10,6,6,"00:14:04,051","00:14:08,221",The speaker sounds happy.,"The image shows two men sitting at a table in a kitchen, talking to each other. On the table there are various objects, and on the wall behind them there is a poster with text and images. There are also bottles and other objects on the shelves, and cupboards at the top of the image."
3698,Really?,Joey,surprise,positive,367,11,6,6,"0:14:09,390","0:14:11,742",The speaker sounds surprised.,"The image shows two men standing in a kitchen, talking to each other. On the table in front of them are various objects, and on the wall behind them is a telephone and a poster. There are also bottles and other objects on the shelves, and cupboards at the top of the image."
3699,"Hey, I didnt make up the rules.",Chandler,neutral,neutral,367,12,6,6,"0:14:11,742","0:14:11,994","The speaker sounds male, speaks English, and conveys an angry mood.",Nan
3700,"Now, after you receive the doubling bonus, you get uh, one card.",Chandler,neutral,neutral,367,13,6,6,"00:14:13,352","00:14:18,189",The speaker sounds happy.,"The image shows two men standing in a kitchen talking to each other. On the table in front of them are various objects, and on the wall behind them is a poster with text and images. There are also bottles and other objects on the shelves, and cupboards at the top of the image."
3701,"Now that one card could be worth $100 bringing your total to 1,500.",Chandler,neutral,neutral,367,14,6,6,"00:14:18,357","00:14:22,861",The speaker sounds happy.,"The image shows two men standing in a kitchen next to each other, with one of them holding a currency note in his hand. On the table in front of them are various objects, and on the wall behind them is a telephone and a poster with text and images. There are also bottles and other objects on the shelves, and cupboards at the top of the image."
3702,Dont get to excited because thats not gonna happen unless you getNo way!,Chandler,surprise,positive,367,15,6,6,"00:14:24,530","00:14:28,783",The speaker sounds angry.,"The image shows two men standing in a kitchen talking to each other. One of the men is holding an object in his hand, while the other is looking at him intently. In the background, there is a refrigerator with bottles and other objects on the shelves, as well as cupboards and a photo frame on the wall."
3703,"Im, Im sorry you didnt get to go to Spacecamp, and Im hoping that maybe somehow, this may make up for it.",Ross,sadness,negative,368,0,3,10,"00:21:44,678","00:21:58,983","The speaker sounds enthusiastic, laid back, and confident.",The image shows a man and a little girl walking down a hallway with crutches. The man is wearing a coat and the little girl is holding a walking stick. The hallway has a door on the left side and a wall with a window in the background.
3704,Presenting Sarah Tuttles Private Very Special Spacecamp!,Ross,joy,positive,368,1,3,10,"00:21:53,270","00:22:05,323",The speaker sounds like a cartoon character.,"The image shows a man and a little girl standing in a hallway. The man is wearing a green jacket and brown pants, while the little girl is holding a stick. The walls of the hallway are white and there is a window in the background."
3705,!,Ross,neutral,neutral,369,0,1,18,"00:20:26,475","00:20:27,725",The speaker sounds happy.,"The image shows a group of three women sitting around a table in a kitchen. On the table there are cards, bottles, glasses, and other objects. In the background, there are shelves with various objects, a flower vase, a machine, and a wall. To the right of the table is a window with a curtain."
3706,"Really Mr. Geller, you dont have to do this.",Sarah,neutral,neutral,370,0,3,10,"00:22:03,196","00:22:05,323",The speaker sounds surprised.,"The image shows a man and a little girl standing in a dark room. The girl is holding a walking stick and the man is standing beside her. On the right side of the image there are chairs, and on the left side there is a table with various objects on it. In the background there are frames attached to the wall."
3707,Oh come on! Here we go!  Stand by for mission countdown!,Ross,joy,positive,370,1,3,10,"00:22:05,490","00:22:12,121",The speaker sounds like a video game character.,"The image shows a man standing in a dark room next to a chair, holding a stick in his hand. On the right side of the image there are two chairs, and on the left side there is a table with various objects on it. In the background there are frames attached to the wall."
3708,Im an alien. Im an alien.,Chandler,neutral,neutral,370,2,3,10,"00:22:29,598","00:22:31,766",The speaker sounds like an alien.,"The image shows Barbara Miller, C.S.A., Leslie Litt, and C.A. standing on the floor in front of a table with various objects on it, surrounded by decorative items and paper lanterns hanging from the ceiling. In the background, there are curtains and a wall, and at the bottom of the image there is some text."
3709,Oh no! An asteroid!,Ross,surprise,positive,370,3,3,10,"00:22:31,933","00:22:34,935",The speaker sounds surprised.,"The image shows a group of people sitting around a table in front of a TV, with a telephone and other objects on the table. In the background, there are decorative items and lights, and something written on the image."
3710,Hey.,Joey,neutral,neutral,371,0,3,3,"0:19:36,049","0:19:36,471",The speaker sounds happy.,Nan
3711,Hey.,Monica,neutral,neutral,371,1,3,3,"0:19:36,471","0:19:37,309",The speaker sounds happy.,"The image shows a woman standing in a kitchen next to a table with a bag on it. She is holding a piece of paper in her hand and there are chairs around the table. In the background, there is a refrigerator with papers pasted on it, a microwave oven, a clock, and other objects on the countertop, as well as frames attached to the wall."
3712,Where you going?,Joey,neutral,neutral,371,2,3,3,"0:19:37,426","0:19:37,978",The speaker sounds like a man.,Nan
3713,To the bank.,Monica,neutral,neutral,371,3,3,3,"0:19:37,978","0:19:39,070","The speaker sounds female, speaking English with a neutral mood.","The image shows a man and woman standing in a kitchen next to each other. On the table in front of them is a glass jar and a bag, and there are chairs around it. In the background, there is a refrigerator with papers pasted on it, a cupboard with plates and other items, and a wall with photo frames. To the right of the image is a door."
3714,Sperm or regular?,Joey,neutral,neutral,371,4,3,3,"0:19:39,178","0:19:41,055","The speaker sounds male, between 16-25 years old, speaking in English with a","The image shows a man and woman standing in a kitchen next to each other. The man is holding a walking stick and the woman is holding an object. On the table in front of them are papers, a glass jar, and other objects. There are chairs around the table and a refrigerator with papers pasted on it. In the background, there are cupboards, a clock, frames on the wall, a window with a curtain, a sink with a tap, bottles, and a few other objects on the countertop."
3715,Sperm.,Monica,neutral,neutral,371,5,3,3,"0:19:41,055","0:19:41,872","The speaker sounds male, happy, and in his twenties.","The image shows a man and woman standing in a kitchen next to each other. The woman is holding a cloth in her hand and the man is holding an object in his hand. On the table in front of them is a glass jar, a book, and some papers. There are chairs around the table and a refrigerator with papers pasted on it. In the background, there are cupboards, a clock on the wall, a window with a curtain, a sink with a tap, a dishwasher, a microwave oven, and other objects on the countertop."
3716,"So you're really doing this, huh?",Joey,surprise,positive,371,6,3,3,"00:19:44,933","00:19:46,309",The speaker sounds surprised.,"The image shows a man and woman standing in a kitchen next to each other. On the table in front of them is a laptop, a glass jar, and some papers. There are also chairs around the table. In the background, there is a refrigerator with papers pasted on it, a clock, a flower vase, a lamp, a window with a curtain, a sink with a tap, a dishwasher, a microwave oven, and various objects placed on the counter-top."
3717,"Oh yeah, picked a guy, 37135.",Monica,neutral,neutral,371,7,3,3,"00:19:46,476","00:19:49,854",Angry,"The image shows a man and woman standing in a kitchen next to each other. On the table in front of them is a glass jar, papers, and other objects. There are chairs around the table and a refrigerator with papers pasted on it in the background. To the left of the image is a kitchen platform with bottles, a sink, a tap, a microwave oven, and various objects on it. Above the platform are cupboards and a clock, and to the right is a door with a curtain."
3718,Sounds nice.,Joey,neutral,neutral,371,8,3,3,"00:19:50,022","00:19:51,147",Neutral,"The image shows a man and woman standing in a kitchen next to each other. On the table in front of them is a glass jar and a bag, and there are chairs around it. In the background, there is a refrigerator with papers pasted on it, a sink with a tap, bottles, and other objects on the countertop, a window with a curtain, and frames attached to the wall."
3719,"Fraid so. Brown hair, green eyes...",Monica,neutral,neutral,371,9,3,3,"00:19:51,315","00:19:54,275",The speaker sounds happy.,"The image shows a man and woman standing in a living room. The woman is holding a piece of paper in her hands and the man is looking at her. The room is filled with furniture such as a sofa, a lamp on a table, a plant in a pot, a cupboard, some photo frames on the wall, a ladder, a door, and a roof with ceiling lights."
3720,"No kiddin', hmm.",Joey,surprise,positive,371,10,3,3,"00:19:54,443","00:19:56,360",The speaker sounds surprised.,"The image shows a man and woman standing in front of a kitchen counter, with the man holding an object. On the counter there are various objects, and in the background there are shelves filled with bottles, jars, and other items."
3721,What?,Monica,sadness,negative,371,11,3,3,"00:19:56,528","00:19:59,280",The speaker sounds surprised.,"The image shows a man and woman standing in a kitchen, with the man holding an object in his hands. In the background, there are shelves filled with bottles, jars, cups, and other objects."
3722,"What's wrong, sweetie?",Roger,neutral,neutral,372,0,1,13,"0:19:07,146","0:19:08,189",The speaker sounds concerned and caring.,"The image shows a group of people sitting at a table in front of a sign that reads ""Central Perk"". There is a man standing in the center of the group, surrounded by other people. On the table there are various objects, and in the background there is a wall with a board attached to it."
3723,"Nothing, nothing.",Phoebe,joy,positive,372,1,1,13,"0:19:08,189","0:19:09,452","The speaker sounds female, happy, and in her twenties.","The image shows two women sitting on a blue couch in a living room. On the table in front of them is a cup and saucer, and in the background there are a few people standing."
3724,"Aaaah, what's wrong, c'mon.",Roger,joy,positive,372,2,1,13,"00:19:09,731","00:19:12,150","The speaker sounds male, speaks English, and conveys an angry mood.","The image shows a man and woman sitting on a couch in a living room. On the table in front of them is a cup and saucer, papers, and other objects. In the background, there are a few people sitting on stools and tables with various objects on them."
3725,"It's, I mean, it's nothing, I'm fine.",Phoebe,sadness,negative,372,3,1,13,"00:19:17,030","00:19:18,781",Neutral,"The image shows a man and woman sitting on a blue couch in a living room. On the table in front of them are books, a cup and saucer, and other objects. In the background, there are a few people sitting on stools and tables with various objects on them."
3726,It's my friends.,Phoebe,sadness,negative,372,4,1,13,"00:19:18,991","00:19:20,950",Neutral,"The image shows a man and woman laying on top of a blue couch, with a pillow between them. In the background, there are chairs and other objects, creating a cozy atmosphere."
3727,They-they have a liking problem with you.,Phoebe,sadness,negative,372,5,1,13,"00:19:21,201","00:19:23,870",Neutral,"The image shows a man and woman laying on top of a blue couch, with a pillow between them. In the background, there are chairs and other objects, creating a cozy atmosphere."
3728,"In that, um, they don't.",Phoebe,sadness,negative,372,6,1,13,"00:19:24,121","00:19:26,956",Neutral,"The image shows a man and woman laying on top of a blue couch, with a pillow between them. In the background, there are chairs and other objects, creating a cozy atmosphere."
3729,Oh. They don't.,Roger,surprise,positive,372,7,1,13,"00:19:29,376","00:19:31,752",The speaker sounds surprised.,"The image shows a man and woman laying on top of a blue couch, with a pillow between them. In the background, there are chairs, a pole, and other objects."
3730,But they don't see all the wonderfulness that I see.,Phoebe,joy,positive,372,8,1,13,"00:19:32,796","00:19:37,091",The speaker sounds sad.,"The image shows a man and woman sitting on a couch in a living room. The man is wearing a brown jacket and the woman is lying on the couch with a pillow behind her. In the background, there are a few chairs and other objects scattered around the room."
3731,They don't see all the good stuff and all the sweet stuff.,Phoebe,sadness,negative,372,9,1,13,"00:19:37,342","00:19:40,845",The speaker sounds happy.,"The image shows a woman sitting on top of a couch next to a man, both of them smiling. The woman has human hair and the man has a human face."
3732,They just think you're a little...,Phoebe,joy,positive,372,10,1,13,"00:19:41,096","00:19:42,638","The speaker sounds English with a female voice, around 30 years old.","The image shows a man and woman sitting on a couch with cushions, surrounded by various objects in the background."
3733,What?,Roger,neutral,neutral,372,11,1,13,"0:19:43,515","0:19:43,947","The speaker sounds male, speaks English, and conveys an angry mood.",Nan
3734,Intense and creepy.,Phoebe,neutral,neutral,372,12,1,13,"0:19:43,947","0:19:46,161",The speaker's voice sounds intense and creepy.,"The image shows a man and woman sitting on a couch, with a pillow between them. In the background, there are a few other people, suggesting that they are in a living room."
3738,You got me.,Chandler,neutral,neutral,373,1,4,5,"00:14:41,338","00:14:42,922",The speaker sounds surprised.,"The image shows two men standing in a kitchen next to each other, with a refrigerator in the background. On the refrigerator there are bottles, jars, and other objects, as well as papers pasted on the refrigerator. To the right of the image is a door."
3740,Yeah. Right.,Chandler,neutral,neutral,373,3,4,5,"00:14:53,726","00:14:56,644",The speaker sounds happy.,"The image shows two men standing in a kitchen, talking to each other. In the background, there are cupboards, bottles, jars, and other objects on the racks, as well as a refrigerator."
3741,"Good, and hey! My treat.  But that's only because you're not eating anything, right?",Joey,joy,positive,373,4,4,5,"00:14:53,726","00:14:59,814",The speaker sounds happy.,"The image shows two men standing in a kitchen, talking to each other. In the background, there are cupboards, bottles, jars, and other objects on the racks, as well as a refrigerator."
3743,I cant believe were here.,Monica,joy,positive,374,0,8,3,"0:15:21,629","0:15:23,173",Angry,"The image shows a group of people standing around a counter in a room. On the counter there are books, papers, and a bouquet of flowers. To the left of the counter is a plant, and in the background there is a wall with a door."
3744,Oh youve got to be kidding me.,Chandler,surprise,negative,374,1,8,3,"0:15:23,173","0:15:25,429",The speaker sounds surprised.,"The image shows a group of people standing around a table in a room. On the table there are books, papers, and a bouquet of flowers. To the left of the table is a plant, and in the background there is a wall with a door."
3745,What?,Monica,surprise,negative,374,2,8,3,"00:15:25,591","00:15:27,091",The speaker sounds surprised.,"The image shows a man and woman standing next to each other in a hallway. The woman is wearing a bag and the man is wearing an orange shirt. In the background, there is a wall with a flower vase and a board attached to it."
3746,"As a wedding gift to you, the hotel would like to give you the honeymoon suite.",Front Desk Clerk,neutral,neutral,374,3,8,3,"00:15:28,677","00:15:32,722",The speaker sounds happy.,"The image shows two women standing next to each other in front of a wall adorned with flowers and leaves. One of the women is wearing a green dress, while the other is wearing an unknown color."
3747,No!! You have been screwing us all day!,Monica,anger,negative,374,4,8,3,"00:15:32,973","00:15:36,392",Angry,"The image shows a man and woman standing next to each other in a kitchen. The woman is wearing a green bag and the man is wearing an orange shirt. In the background, there is a wall with a paper attached to it."
3748,Who are you?,Man,surprise,negative,374,5,8,3,"0:15:36,685","0:15:37,520","The speaker sounds male, speaks English, and conveys an angry mood.","The image shows a group of people standing around each other in a room. In the center of the group is a woman wearing a green dress and holding a mobile phone in her hand, while to her right is a man wearing a black shirt and brown pants. To the left of them is a table with papers and a name board on it, and in the background there are plants and a wall."
